what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,2.3.1.201302201838-r,"org.eclipse.jgit",1394567812747
started,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1394567812747
started,bundle,com.android.ide.eclipse.base,22.0.1.v201305230001--685705,"com.android.ide.eclipse.base",1394567812763
started,bundle,beaver,3.0.0.1346444146,"beaver",1394567812763
started,bundle,com.aptana.console,3.0.0.1365900908,"com.aptana.console",1394567812763
started,bundle,com.aptana.core,3.3.0.1369977306,"com.aptana.core",1394567812763
started,bundle,com.aptana.core.epl,3.0.0.1344341997,"com.aptana.core.epl",1394567812763
started,bundle,com.aptana.core.io,3.0.3.1366554463,"com.aptana.core.io",1394567812763
started,bundle,com.aptana.debug.core,3.0.3.1364332987,"com.aptana.debug.core",1394567812763
started,bundle,com.aptana.editor.epl,3.0.0.1363886503,"com.aptana.editor.epl",1394567812763
started,bundle,com.aptana.editor.php.epl,3.3.0.1358460206,"com.aptana.editor.php.epl",1394567812779
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1394567812779
started,bundle,com.aptana.git.core,3.0.0.1370549535,"com.aptana.git.core",1394567812779
started,bundle,com.aptana.git.ui,3.0.3.1360356384,"com.aptana.git.ui",1394567812779
started,bundle,com.aptana.interactive_console,2.7.0.2013032300,"com.aptana.interactive_console",1394567812779
started,bundle,com.aptana.js.debug.core,3.0.3.1365014454,"com.aptana.js.debug.core",1394567812779
started,bundle,com.aptana.js.debug.ui,3.0.0.1346080293,"com.aptana.js.debug.ui",1394567812779
started,bundle,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui",1394567812779
started,bundle,com.aptana.preview,3.0.0.1369877848,"com.aptana.preview",1394567812794
started,bundle,com.aptana.scripting,3.1.0.1367525200,"com.aptana.scripting",1394567812794
started,bundle,com.aptana.scripting.ui,3.0.0.1363994809,"com.aptana.scripting.ui",1394567812794
started,bundle,com.aptana.syncing.core,3.0.0.1367525200,"com.aptana.syncing.core",1394567812794
started,bundle,com.aptana.syncing.ui,3.0.3.1367525200,"com.aptana.syncing.ui",1394567812794
started,bundle,com.aptana.theme,3.0.0.1364595254,"com.aptana.theme",1394567812794
started,bundle,com.aptana.ui,3.1.4.1370053012,"com.aptana.ui",1394567812794
started,bundle,com.aptana.usage,3.0.0.1370549535,"com.aptana.usage",1394567812794
started,bundle,com.aptana.webserver.core,3.0.0.1354927905,"com.aptana.webserver.core",1394567812794
started,bundle,com.python.pydev.analysis,2.7.0.2013032300,"com.python.pydev.analysis",1394567812794
started,bundle,org.python.pydev,2.7.0.2013032300,"org.python.pydev",1394567812810
started,bundle,org.python.pydev.core,2.7.0.2013032300,"org.python.pydev.core",1394567812810
started,bundle,org.python.pydev.debug,2.7.0.2013032300,"org.python.pydev.debug",1394567812810
started,bundle,org.python.pydev.red_core,2.7.0.2013032300,"org.python.pydev.red_core",1394567812810
os,sysinfo,,,"win32",1394567812810
arch,sysinfo,,,"x86_64",1394567812810
ws,sysinfo,,,"win32",1394567812810
