what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1394333126513
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1394333126513
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1394333126514
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1394333126515
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1394333126516
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201107221459,"org.eclipse.datatools.connectivity.sqm.server.ui",1394333126517
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.2.v201201131129,"org.eclipse.datatools.sqltools.ddlgen.ui",1394333126518
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1394333126519
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1394333126520
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1394333126521
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.2.v201111230714,"org.eclipse.datatools.sqltools.routineeditor.ui",1394333126522
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.3.v201107221520,"org.eclipse.datatools.sqltools.sqlbuilder",1394333126525
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.debugger.core",1394333126526
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1394333126527
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1394333126528
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook",1394333126529
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201107221520,"org.eclipse.datatools.sqltools.sqleditor",1394333126530
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1394333126531
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1394333126532
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.1.v20110926045,"org.eclipse.datatools.connectivity.sqm.core.ui",1394333126533
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1394333126534
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1394333126535
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1394333126536
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1394333126537
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1394333126538
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1394333126539
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1394333126540
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1394333126541
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1394333126542
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1394333126543
stopped,bundle,com.aptana.documentation,3.0.0.1357569551,"com.aptana.documentation",1394333126544
stopped,bundle,com.aptana.editor.beaver,3.0.0.1365788962,"com.aptana.editor.beaver",1394333126545
stopped,bundle,com.aptana.editor.coffee,3.0.0.1365789746,"com.aptana.editor.coffee",1394333126545
stopped,bundle,com.aptana.editor.css.formatter,3.0.0.1357340380,"com.aptana.editor.css.formatter",1394333126546
stopped,bundle,com.aptana.editor.ruby.formatter.epl,3.0.2.1346879409,"com.aptana.editor.ruby.formatter.epl",1394333126547
stopped,bundle,com.aptana.editor.haml,3.0.2.1340155739,"com.aptana.editor.haml",1394333126548
stopped,bundle,com.aptana.ruby.debug.ui,3.0.2.1339543082,"com.aptana.ruby.debug.ui",1394333126549
stopped,bundle,com.aptana.editor.erb,3.0.3.1357343301,"com.aptana.editor.erb",1394333126550
stopped,bundle,com.aptana.editor.php.formatter,3.3.0.1352211917,"com.aptana.editor.php.formatter",1394333126551
stopped,bundle,org.python.pydev.django_templates,2.7.0.2013032300,"org.python.pydev.django_templates",1394333126552
stopped,bundle,com.aptana.editor.html.formatter,3.0.3.1341616068,"com.aptana.editor.html.formatter",1394333126553
stopped,bundle,com.aptana.editor.markdown,3.0.0.1365788962,"com.aptana.editor.markdown",1394333126553
stopped,bundle,com.aptana.php.debug.epl,3.3.0.1345228196,"com.aptana.php.debug.epl",1394333126555
stopped,bundle,com.aptana.php.debug,3.3.0.1344996500,"com.aptana.php.debug",1394333126556
stopped,bundle,com.aptana.editor.php,3.3.0.1365773524,"com.aptana.editor.php",1394333126557
stopped,bundle,com.aptana.portal.ui.eclipse36,3.0.0.1360957303,"com.aptana.portal.ui.eclipse36",1394333126558
stopped,bundle,com.aptana.samples.ui,3.0.0.1369628888,"com.aptana.samples.ui",1394333126558
stopped,bundle,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui",1394333126558
stopped,bundle,org.radrails.rails.ui,3.0.2.1345651386,"org.radrails.rails.ui",1394333126559
stopped,bundle,com.aptana.workbench,3.0.0.1367525200,"com.aptana.workbench",1394333126560
stopped,bundle,com.aptana.explorer,3.0.0.1367440240,"com.aptana.explorer",1394333126562
stopped,bundle,com.aptana.js.debug.v8.ui,3.0.0.1349739116,"com.aptana.js.debug.v8.ui",1394333126562
stopped,bundle,com.aptana.js.debug.ui,3.0.0.1346080293,"com.aptana.js.debug.ui",1394333126563
stopped,bundle,com.aptana.editor.html,3.0.3.1367525200,"com.aptana.editor.html",1394333126564
stopped,bundle,com.aptana.editor.sass,3.0.2.1345142026,"com.aptana.editor.sass",1394333126565
stopped,bundle,com.aptana.editor.svg,3.0.3.1357571277,"com.aptana.editor.svg",1394333126566
stopped,bundle,com.aptana.editor.css,3.1.0.1357340380,"com.aptana.editor.css",1394333126567
stopped,bundle,com.aptana.editor.diff,3.0.0.1365788962,"com.aptana.editor.diff",1394333126568
stopped,bundle,com.aptana.editor.xml.formatter,3.0.0.1354813217,"com.aptana.editor.xml.formatter",1394333126569
stopped,bundle,com.aptana.editor.xml,3.0.0.1364002257,"com.aptana.editor.xml",1394333126570
stopped,bundle,com.aptana.editor.js.formatter,3.0.3.1353527087,"com.aptana.editor.js.formatter",1394333126571
stopped,bundle,com.aptana.editor.json,3.0.0.1357856460,"com.aptana.editor.json",1394333126572
stopped,bundle,com.aptana.formatter.ui.epl,3.0.0.1348635775,"com.aptana.formatter.ui.epl",1394333126573
stopped,bundle,com.aptana.editor.dtd,3.0.0.1354746625,"com.aptana.editor.dtd",1394333126574
stopped,bundle,com.aptana.editor.idl,3.0.0.1365788962,"com.aptana.editor.idl",1394333126574
stopped,bundle,com.aptana.editor.js,3.0.3.1367525200,"com.aptana.editor.js",1394333126575
stopped,bundle,com.aptana.editor.php.epl,3.3.0.1358460206,"com.aptana.editor.php.epl",1394333126575
stopped,bundle,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1394333126576
stopped,bundle,com.aptana.deploy.ftp,3.0.3.1355455818,"com.aptana.deploy.ftp",1394333126577
stopped,bundle,com.aptana.syncing.ui,3.0.3.1367525200,"com.aptana.syncing.ui",1394333126578
stopped,bundle,com.aptana.ui.secureftp,3.0.0.1337406272,"com.aptana.ui.secureftp",1394333126579
stopped,bundle,com.aptana.ui.ftp,3.0.0.1340804502,"com.aptana.ui.ftp",1394333126580
stopped,bundle,com.aptana.ui.s3,3.0.0.1337406272,"com.aptana.ui.s3",1394333126581
stopped,bundle,com.aptana.ui.io,3.0.0.1366120396,"com.aptana.ui.io",1394333126581
stopped,bundle,com.aptana.editor.text,3.0.0.1339173764,"com.aptana.editor.text",1394333126582
stopped,bundle,com.aptana.editor.yaml,3.0.0.1367440210,"com.aptana.editor.yaml",1394333126585
stopped,bundle,com.aptana.preview,3.0.0.1369877848,"com.aptana.preview",1394333126585
stopped,bundle,org.python.pydev.red_core,2.7.0.2013032300,"org.python.pydev.red_core",1394333126585
stopped,bundle,com.aptana.editor.common,3.0.3.1367525200,"com.aptana.editor.common",1394333126586
stopped,bundle,com.aptana.build.ui,3.0.0.1342114703,"com.aptana.build.ui",1394333126587
stopped,bundle,com.aptana.debug.ui,3.0.3.1343658852,"com.aptana.debug.ui",1394333126588
stopped,bundle,com.aptana.deploy.engineyard,3.0.3.1365788677,"com.aptana.deploy.engineyard",1394333126589
stopped,bundle,com.aptana.deploy.heroku,3.0.3.1365788677,"com.aptana.deploy.heroku",1394333126590
stopped,bundle,com.aptana.deploy.capistrano,3.0.3.1365788677,"com.aptana.deploy.capistrano",1394333126591
stopped,bundle,com.aptana.deploy.ui,1.0.0.1354838688,"com.aptana.deploy.ui",1394333126592
stopped,bundle,com.aptana.editor.findbar,3.0.0.1363999525,"com.aptana.editor.findbar",1394333126593
stopped,bundle,com.aptana.formatter.epl,3.2.0.1341615906,"com.aptana.formatter.epl",1394333126594
stopped,bundle,com.aptana.ruby.ui,3.0.2.1347479530,"com.aptana.ruby.ui",1394333126594
stopped,bundle,com.aptana.projects,3.0.0.1368601846,"com.aptana.projects",1394333126595
stopped,bundle,com.aptana.git.ui,3.0.3.1360356384,"com.aptana.git.ui",1394333126596
stopped,bundle,com.aptana.jira.ui,1.0.0.1358484105,"com.aptana.jira.ui",1394333126596
stopped,bundle,com.aptana.scripting.ui,3.0.0.1363994809,"com.aptana.scripting.ui",1394333126597
stopped,bundle,com.aptana.terminal,3.0.0.1350942659,"com.aptana.terminal",1394333126597
stopped,bundle,com.aptana.js.debug.core.v8,3.0.0.1367525200,"com.aptana.js.debug.core.v8",1394333126598
stopped,bundle,com.aptana.js.debug.core,3.0.3.1365014454,"com.aptana.js.debug.core",1394333126598
stopped,bundle,com.aptana.debug.core,3.0.3.1364332987,"com.aptana.debug.core",1394333126598
stopped,bundle,com.aptana.console,3.0.0.1365900908,"com.aptana.console",1394333126598
stopped,bundle,com.aptana.index.core.ui,3.0.0.1340804502,"com.aptana.index.core.ui",1394333126599
stopped,bundle,com.aptana.webserver.ui,3.0.0.1346884910,"com.aptana.webserver.ui",1394333126599
stopped,bundle,com.aptana.theme,3.0.0.1364595254,"com.aptana.theme",1394333126600
stopped,bundle,com.aptana.ui,3.1.4.1370053012,"com.aptana.ui",1394333126600
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1394333126601
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1394333126601
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1394333126602
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1394333126603
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1394333126603
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1394333126604
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1394333126605
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1394333126606
stopped,bundle,org.eclipse.wst.server.preview,1.1.100.v20091208,"org.eclipse.wst.server.preview",1394333126606
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1394333126607
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1394333126608
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1394333126608
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1394333126609
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1394333126610
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1394333126610
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1394333126611
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1394333126611
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20120130-0943,"org.eclipse.emf.importer.ecore",1394333126612
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20120130-0943,"org.eclipse.emf.importer.java",1394333126613
stopped,bundle,org.eclipse.emf.importer.rose,2.6.0.v20120130-0943,"org.eclipse.emf.importer.rose",1394333126613
stopped,bundle,org.eclipse.emf.ant,2.7.0.v20120130-0943,"org.eclipse.emf.ant",1394333126614
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1394333126614
